Diagnoses,Discharges and deaths,Index of interest (Papers/D&D × 1000)
Slow virus diseases of CNS,40,2000
Myasthenia Gravis,930,156
Crohn’s disease,6670,44
Carcinoma of the breast,41220,33
Rheumatoid arthritis,26060,27
Carcinoma of the bronchus,54440,20
Myocardial infarction,102720,10
Cerebrovascular disease,111250,7.7
Irritable bowel etc.*,19840,6.7
Cataract,54990,6.5
Hip replacement,37400,6.0
Haemorrhoids,20700,5.0
Inguinal hernia,64400,1.8
Tonsils and adenoids,76600,0.7
Varicose veins,47160,0.6
