age,snp_effect,lower_ci,upper_ci,se
2,0.02,0.01,0.03,0.0153
4,0.01,0.0,0.02,0.0153
6,-0.02,-0.05,0.01,0.0153
8,-0.04,-0.07,-0.01,0.0153
10,-0.07,-0.11,-0.03,0.0204
12,-0.08,-0.12,-0.04,0.0204
14,-0.09,-0.13,-0.05,0.0204
16,-0.11,-0.16,-0.06,0.0255
18,-0.12,-0.17,-0.07,0.0255
20,-0.10,-0.15,-0.05,0.0255
22,-0.10,-0.14,-0.06,0.0204
25,-0.11,-0.14,-0.08,0.0153
30,-0.09,-0.11,-0.07,0.0102
35,-0.07,-0.09,-0.05,0.0102
40,-0.10,-0.12,-0.08,0.0102
45,-0.08,-0.10,-0.06,0.0102
50,-0.09,-0.10,-0.08,0.0051
55,-0.08,-0.09,-0.07,0.0051
60,-0.08,-0.09,-0.07,0.0051
65,-0.07,-0.08,-0.06,0.0051
70,-0.08,-0.09,-0.07,0.0051
75,-0.06,-0.08,-0.04,0.0102
80,-0.07,-0.09,-0.05,0.0102
85,-0.07,-0.12,-0.02,0.0255
90,+0.06,-0.06,0.18,0.0612
